channel;locale;sku;status;type;parent;variant_structure;attribute_family;categories;name;description;short_description;price (USD);cost (USD);price (EUR);cost (EUR);meta_title;meta_keywords;meta_description;url_key;related_products;cross_sells;up_sells;configurable_attributes;color;size
default;en_US;configurable-product-1;true;configurable;;color;default;root;Configurable Product 1;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsum.</p>;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsu</p>;100;60;90;54;Fashion Shoes for Every Style and Occasion;Shoes|New Shoes|Latest Collection of Shoes|Casual sneakers;Explore our diverse collection of fashion-forward shoes, ranging from casual sneakers to elegant heels. Find the perfect pair to complement your wardrobe;Config-1;;;;;;
default;en_US;configurable-product-1-red;true;simple;configurable-product-1;;default;;;;;100;60;90;54;;;;Config-1-Red;;;;;Red;
default;en_US;configurable-product-1-green;true;simple;configurable-product-1;;default;;;;;100;60;90;54;;;;Config-1-Green;;;;;Green;
default;en_US;configurable-product-2;true;configurable;;size;default;root;Configurable Product 2;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsum.</p>;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsu</p>;100;60;90;54;Fashion Shoes for Every Style and Occasion;Shoes|New Shoes|Latest Collection of Shoes|Casual sneakers;Explore our diverse collection of fashion-forward shoes, ranging from casual sneakers to elegant heels. Find the perfect pair to complement your wardrobe;Config-2;;;;;;
default;en_US;configurable-product-2-s;true;simple;configurable-product-2;;default;;;;;100;60;90;54;;;;Config-2-S;;;;;;S
default;en_US;configurable-product-2-m;true;simple;configurable-product-2;;default;;;;;100;60;90;54;;;;Config-2-M;;;;;;M
default;en_US;configurable-product-3;true;configurable;;color_size;default;root;Configurable Product 3;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsum.</p>;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsu</p>;100;60;90;54;Fashion Shoes for Every Style and Occasion;Shoes|New Shoes|Latest Collection of Shoes|Casual sneakers;Explore our diverse collection of fashion-forward shoes, ranging from casual sneakers to elegant heels. Find the perfect pair to complement your wardrobe;Config-3;;;;;;
default;en_US;configurable-product-3-s-red;true;simple;configurable-product-3;;default;;;;;100;60;90;54;;;;Config-3-S-Red;;;;;Red;S
default;en_US;configurable-product-3-m-green;true;simple;configurable-product-3;;default;;;;;100;60;90;54;;;;Config-3-M-Green;;;;;Green;M
default;en_US;simple-product-1;true;simple;;;default;root;Simple Product 1;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsum.</p>;<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ac quam bibendum, scelerisque mi eget, pulvinar ipsu</p>;100;60;90;54;Fashion Shoes for Every Style and Occasion;Shoes|New Shoes|Latest Collection of Shoes|Casual sneakers;Explore our diverse collection of fashion-forward shoes, ranging from casual sneakers to elegant heels. Find the perfect pair to complement your wardrobe;Simple-1;;;;;;
